city;district;front;size;property_age;bedrooms;bathrooms;livingrooms;kitchen;garage;driver_room;maid_room;furnished;ac;roof;pool;frontyard;basement;duplex;stairs;elevator;fireplace;price;
 «·—Ì«÷;   ÕÌ «·„ÂœÌ… ;Ã‰Ê»;250;0;5;5;2;0;1;0;1;0;0;0;0;1;0;1;1;0;0;50000;
 «·—Ì«÷;   ÕÌ «·—„«· ;‘„«· ‘—ﬁÌ;350;0;5;5;1;1;1;0;1;0;1;1;0;1;0;0;1;0;0;55000;
 «·—Ì«÷;   ÕÌ «·—„«· ;‘„«·;450;0;5;5;1;1;1;1;1;0;1;1;0;0;0;0;1;0;1;60000;
 «·—Ì«÷;   ÕÌ «·“Â—… ;Ã‰Ê» ‘—ﬁÌ;500;14;4;5;1;1;1;1;1;0;1;1;0;0;0;0;1;0;0;45000;
 «·—Ì«÷;   ÕÌ «·‰—Ã” ;‘—ﬁ;260;0;3;3;1;1;1;1;1;0;1;0;0;1;0;0;0;0;0;100000;
 «·—Ì«÷;   ÕÌ «·‘Âœ«¡ ;Ã‰Ê»;205;0;5;5;2;0;1;0;1;0;1;0;0;1;0;1;1;1;0;140000;
 «·—Ì«÷;   ÕÌ «·⁄«—÷ ;‘—ﬁ;250;2;4;5;2;1;0;0;1;0;1;0;0;1;0;1;1;0;0;85000;
 «·—Ì«÷;   ÕÌ «·⁄«—÷ ;‘„«·;250;0;5;5;1;1;1;0;1;0;0;0;0;1;0;1;1;0;0;80000;
 «·—Ì«÷;   ÕÌ «·—„«· ;‘—ﬁ;460;4;1;5;1;1;1;1;1;0;1;1;0;1;0;0;0;0;1;75000;
 «·—Ì«÷;   ÕÌ «·„·ﬁ« ;Ã‰Ê»;200;3;7;5;2;1;1;0;1;0;1;0;0;1;0;1;1;0;0;90000;
 «·—Ì«÷;   ÕÌ ÕÿÌ‰ ;‘„«·;155;0;3;5;2;1;0;0;1;0;1;0;0;0;0;0;1;0;0;180000;
 «·—Ì«÷;   ÕÌ «·—„«· ;€—»;400;0;5;5;1;1;0;0;1;1;0;0;0;0;0;0;1;0;1;60000;
